# schema_version=1
# release=0.1.0
# platform=macOS-arm64
# homebrew_platform=arm64_tahoe
# homebrew_core_commit=4bbf4913366f70fe64c5eb1a0eef72b86fc17bdd
# generated_from=dist/macos/Chess.app
# The bottle SHA identifies the Homebrew binary used before install-name rewriting and signing.
# Cairo is the exception: it is built by scripts/build-macos-cairo-no-lzo.sh from verified source.
component	package_version	upstream_version	build_origin	bundled_dylibs	distributed_license	source_url	source_sha256	bottle_sha256	formula_path	formula_sha256	scope_note
gtk4	4.22.4	4.22.4	homebrew-bottle	libgtk-4.1.dylib	LGPL-2.1-or-later	https://download.gnome.org/sources/gtk/4.22/gtk-4.22.4.tar.xz	51bd9f60c7d23a665a556c7364c21fb2e4e282566b3e7e092455e8f910330893	a94ac6fd1d2be90bf6ec253ab513421b37a27fca1b37b167ae483eedf7298998	Formula/g/gtk4.rb	3b776306f6647c294cdd14f91ee81552e2899208baebe0c0afa041ad11b1a15f	Dynamic library
gtkmm4	4.22.0	4.22.0	homebrew-bottle	libgtkmm-4.0.0.dylib	LGPL-2.1-or-later	https://download.gnome.org/sources/gtkmm/4.22/gtkmm-4.22.0.tar.xz	2e8a21b4b0725f620e33aaee0cd343ed121b533275b632896619b1c89e96de67	5019a6a838cfdb66402a58a076e55b75bba6047bb057d66c4b8394b750697656	Formula/g/gtkmm4.rb	025f1288b5415b292bb1d71f81c6866cbdd6b5ce9b9d034da28919282708486d	Dynamic library
harfbuzz	14.2.1	14.2.1	homebrew-bottle	libharfbuzz.0.dylib,libharfbuzz-subset.0.dylib	MIT	https://github.com/harfbuzz/harfbuzz/releases/download/14.2.1/harfbuzz-14.2.1.tar.xz	a54a5d8e9380a41fbb762ce367bcbf7704792dfca0d93f1bbca86c5a57902e0e	45b392b3a078f7def1b927dc46806df3d2768ddd584160d9c0769b20abba7525	Formula/h/harfbuzz.rb	fd2b2b8d58aaa6f9c3b68c296b0018952cfb1ead44ece165d258814194f5d1e4	Dynamic libraries
jpeg-turbo	3.2.0	3.2.0	homebrew-bottle	libjpeg.8.dylib	IJG AND Zlib AND BSD-3-Clause	https://github.com/libjpeg-turbo/libjpeg-turbo/releases/download/3.2.0/libjpeg-turbo-3.2.0.tar.gz	6f30092cef9fb839779646608f4ee14ae3cbac989c47fa05e841b0841f09878e	516f4fcf68020aea477a82ac745d5a89bff9fb4908e01c7529c191a563fd1a7b	Formula/j/jpeg-turbo.rb	c380962c7a8e07405fed2757e7cd3b87c78cdebe2a32f6ea3946374f575e7dc4	Dynamic library
libdatrie	0.2.14	0.2.14	homebrew-bottle	libdatrie.1.dylib	LGPL-2.1-or-later	https://github.com/tlwg/libdatrie/releases/download/v0.2.14/libdatrie-0.2.14.tar.xz	f04095010518635b51c2313efa4f290b7db828d6273e39b2b8858f859dfe81d5	77f8ac3d31bc58f8e000a6b065fa1eeff3c0f832e1d4e3c5fa67b464307c4e87	Formula/lib/libdatrie.rb	aa267a2764782d75ed637650f034a18f26a8391845cd130618ec1f85b13f9a67	Dynamic library
libepoxy	1.5.10	1.5.10	homebrew-bottle	libepoxy.0.dylib	MIT	https://download.gnome.org/sources/libepoxy/1.5/libepoxy-1.5.10.tar.xz	072cda4b59dd098bba8c2363a6247299db1fa89411dc221c8b81b8ee8192e623	b6b93f3e18a09a60f0a2e7b6f91eef274d0a34840d5141446535f6ef949377b4	Formula/lib/libepoxy.rb	4ae07ce526fa50caefdb40f4cf404d638199322857addcc32f58e3b57223a25f	Dynamic library
libpng	1.6.58	1.6.58	homebrew-bottle	libpng16.16.dylib	libpng-2.0	https://downloads.sourceforge.net/project/libpng/libpng16/1.6.58/libpng-1.6.58.tar.xz	28eb403f51f0f7405249132cecfe82ea5c0ef97f1b32c5a65828814ae0d34775	a28e1e29bf508ddf89800c215a013694c2751ca63e8ae40aca859aff7bf7b02c	Formula/lib/libpng.rb	18814d6ee041754dcdaf0728ecd0383485f2e0ef79c70637bccc2f1db1e2d661	Dynamic library
libsigc++	3.8.1	3.8.1	homebrew-bottle	libsigc-3.0.0.dylib	LGPL-3.0-or-later	https://github.com/libsigcplusplus/libsigcplusplus/releases/download/3.8.1/libsigc++-3.8.1.tar.xz	4ff41d1474e501d3baeced4c989d154338206ac16471e614376496b63fe252d1	3540ac35660c59de1ea778b022c71db48bd21fe533d3707fb45a947d24852b1b	Formula/lib/libsigc++.rb	ed84b32876e8455b65c626b20b9fc1f1dafcca7a08c1da8941e759e1989c4f2e	Dynamic library; LGPLv3 installation information is covered by the relink kit
libthai	0.1.30	0.1.30	homebrew-bottle	libthai.0.dylib	LGPL-2.1-or-later	https://linux.thai.net/pub/thailinux/software/libthai/libthai-0.1.30.tar.xz	ddba8b53dfe584c3253766030218a88825488a51a7deef041d096e715af64bdd	683257ceaae0ebf522c07e2fd39b82863ff54d35ac8a985d9d62597bda8a05b3	Formula/lib/libthai.rb	38e5556e5705064c6d3ebb0af97db6eab22a0c8bb2ca04b4c34d04f038c244ea	Dynamic library
libtiff	4.7.2	4.7.2	homebrew-bottle	libtiff.6.dylib	libtiff	https://download.osgeo.org/libtiff/tiff-4.7.2.tar.gz	672bd7d10aee4606171afb864f3570b83340f6a33e2c186dc0512f7145ffdf6a	5d1873ffd3458d6288110874c349921206349359cf6564443bf2ed92ef9e5d46	Formula/lib/libtiff.rb	75c014879e6c070754f730b1233149f7ee4654e820709e6c307ba3c07e345c04	Dynamic library
